eps,sn_frozen,hz_frozen,sdss_frozen,desi_frozen,total_frozen,sn_published,hz_published,sdss_published,desi_published,total_published
-0.100000000000,2593.278250301160,12.133921658228,12.474786241412,88.489240741120,2706.376198941920,9218.204158853425,18.771146714484,64.664363998301,403.585459814176,9705.225129380386
-0.099000000000,2593.445724783446,12.128362761572,12.458975591413,87.842524791165,2705.875587927595,9114.549212677875,18.634529385648,62.987592433940,392.973683614498,9589.145018111958
-0.098000000000,2593.613023550740,12.122851220908,12.443220457051,87.199406668145,2705.378501896845,9011.726775491965,18.499261041006,61.336233345466,382.524101156058,9474.086371034495
-0.097000000000,2593.780146869583,12.117386863079,12.427520649439,86.559877593304,2704.884931975405,8909.734389228677,18.365341680558,59.710183467144,372.235986444038,9360.045900820416
-0.096000000000,2593.947095005978,12.111969515602,12.411875980412,85.923928812574,2704.394869314567,8808.569605005687,18.232771304306,58.109340065294,362.108616994473,9247.020333369757
-0.095000000000,2594.113868225402,12.106599006669,12.396286262552,85.291551596607,2703.908305091229,8708.229983085192,18.101549912247,56.533600935178,352.141273816144,9135.006407748762
-0.094000000000,2594.280466792923,12.101275165138,12.380751309166,84.662737240613,2703.425230507841,8608.713092829197,17.971677504384,54.982864397624,342.333241388853,9024.000876120059
-0.093000000000,2594.446890973016,12.095997820539,12.365270934288,84.037477064287,2702.945636792130,8510.016512656723,17.843154080715,53.457029296141,332.683807646357,8914.000503679938
-0.092000000000,2594.613141029719,12.090766803062,12.349844952687,83.415762411749,2702.469515197217,8412.137830002785,17.715979641241,51.955994993711,323.192263955390,8805.002068593127
-0.091000000000,2594.779217226640,12.085581943561,12.334473179841,82.797584651426,2701.996857001467,8315.074641275383,17.590154185961,50.479661369542,313.857905097083,8697.002361927969
-0.090000000000,2594.945119826766,12.080443073546,12.319155431957,82.182935176005,2701.527653508273,8218.824551812661,17.465677714876,49.027928816341,304.680029247822,8589.998187591698
-0.089000000000,2595.110849092693,12.075350025182,12.303891525951,81.571805402334,2701.061896046161,8123.385175843842,17.342550227986,47.600698236998,295.657937960049,8483.986362268875
-0.088000000000,2595.276405286467,12.070302631290,12.288681279453,80.964186771335,2700.599575968545,8028.754136444486,17.220771725290,46.197871041566,286.790936144220,8378.963715355561
-0.087000000000,2595.441788669708,12.065300725336,12.273524510805,80.360070747916,2700.140684653766,7934.929065497483,17.100342206789,44.819349144352,278.078332048780,8274.927088897404
-0.086000000000,2595.606999503499,12.060344141435,12.258421039049,79.759448820930,2699.685213504913,7841.907603651523,16.981261672482,43.465034960955,269.519437242807,8171.873337527767
-0.085000000000,2595.772038048482,12.055432714344,12.243370683931,79.162312503050,2699.233153949807,7749.687400280412,16.863530122370,42.134831405200,261.113566596927,8069.799328404910
-0.084000000000,2595.936904564785,12.050566279464,12.228373265900,78.568653330692,2698.784497440842,7658.266113441700,16.747147556453,40.828641886270,252.860038265293,7968.701941149716
-0.083000000000,2596.101599312073,12.045744672830,12.213428606098,77.978462863969,2698.339235454970,7567.641409838330,16.632113974730,39.546370305616,244.758173666853,7868.578067785528
-0.082000000000,2596.266122549492,12.040967731115,12.198536526361,77.391732686555,2697.897359493524,7477.810964775645,16.518429377202,38.287921054379,236.807297467909,7769.424612675135
-0.081000000000,2596.430474535777,12.036235291624,12.183696849215,76.808454405688,2697.458861082304,7388.772462124177,16.406093763868,37.053199010179,229.006737563609,7671.238492461834
-0.080000000000,2596.594655529066,12.031547192291,12.168909397873,76.228619651985,2697.023731771215,7300.523594278930,16.295107134730,35.842109534372,221.355825060079,7574.016636008111
-0.079000000000,2596.758665787121,12.026903271677,12.154173996230,75.652220079463,2696.591963134491,7213.062062120341,16.185469489785,34.654558469272,213.853894257263,7477.755984336662
-0.078000000000,2596.922505567226,12.022303368968,12.139490468864,75.079247365381,2696.163546770439,7126.385574974411,16.077180829036,33.490452135243,206.500282630347,7382.453490569037
-0.077000000000,2597.086175126121,12.017747323969,12.124858641035,74.509693210221,2695.738474301347,7040.491850574199,15.970241152481,32.349697327839,199.294330812817,7288.106119867335
-0.076000000000,2597.249674720111,12.013234977107,12.110278338665,73.943549337575,2695.316737373459,6955.378615021504,15.864650460120,31.232201315151,192.235382579201,7194.710849375976
-0.075000000000,2597.413004605020,12.008766169423,12.095749388361,73.380807494074,2694.898327656877,6871.043602747302,15.760408751954,30.137871834968,185.322784827420,7102.264668161644
-0.074000000000,2597.576165036187,12.004340742570,12.081271617387,72.821459449314,2694.483236845459,6787.484556474459,15.657516027983,29.066617091985,178.555887561178,7010.764577155605
-0.073000000000,2597.739156268504,11.999958538814,12.066844853686,72.265496995783,2694.071456656787,6704.699227178414,15.555972288206,28.018345755116,171.934043873853,6920.207589095590
-0.072000000000,2597.901978556345,11.995619401027,12.052468925852,71.712911948785,2693.662978832009,6622.685374052381,15.455777532624,26.992966954781,165.456609930914,6830.590728470701
-0.071000000000,2598.064632153652,11.991323172688,12.038143663144,71.163696146336,2693.257795135820,6541.440764464795,15.356931761237,25.990390280165,159.122944952801,6741.911031458999
-0.070000000000,2598.227117313891,11.987069697877,12.023868895477,70.617841449128,2692.855897356374,6460.963173925704,15.259434974044,25.010525776642,152.932411198771,6654.165545875160
-0.069000000000,2598.389434290038,11.982858821274,12.009644453419,70.075339740420,2692.457277305151,6381.250386047404,15.163287171046,24.053283942966,146.884373950106,6567.351331111522
-0.068000000000,2598.551583334593,11.978690388157,11.995470168192,69.536182925993,2692.061926816935,6302.300192509389,15.068488352243,23.118575728761,140.978201492882,6481.465458083276
-0.067000000000,2598.713564699653,11.974564244399,11.981345871663,69.000362934049,2691.669837749763,6224.110393020226,14.975038517634,22.206312531827,135.213265102592,6396.505009172279
-0.066000000000,2598.875378636741,11.970480236463,11.967271396344,68.467871715141,2691.281001984688,6146.678795280254,14.882937667219,21.316406195540,129.588939026753,6312.467078169767
-0.065000000000,2599.037025397039,11.966438211403,11.953246575388,67.938701242097,2690.895411425927,6070.003214946302,14.792185801000,20.448769006232,124.104600469580,6229.348770223113
-0.064000000000,2599.198505231107,11.962438016861,11.939271242594,67.412843509969,2690.513058000530,5994.081475595858,14.702782918975,19.603313690744,118.759629575238,6147.147201780816
-0.063000000000,2599.359818389234,11.958479501060,11.925345232392,66.890290535925,2690.133933658611,5918.911408688809,14.614729021144,18.779953413691,113.553409411830,6065.859500535473
-0.062000000000,2599.520965121050,11.954562512810,11.911468379849,66.371034359196,2689.758030372905,5844.490853535179,14.528024107508,17.978601775071,108.485325955934,5985.482805373691
-0.061000000000,2599.681945675874,11.950686901494,11.897640520658,65.855067040990,2689.385340139017,5770.817657254995,14.442668178067,17.199172807647,103.554768076241,5906.014266316950
-0.060000000000,2599.842760302451,11.946852517078,11.883861491145,65.342380664436,2689.015854975110,5697.889674747500,14.358661232820,16.441580974506,98.761127518078,5827.451044472904
-0.059000000000,2600.003409249185,11.943059210096,11.870131128260,64.832967334489,2688.649566922030,5625.704768652636,14.276003271768,15.705741166511,94.103798887752,5749.790311978667
-0.058000000000,2600.163892763874,11.939306831660,11.856449269577,64.326819177872,2688.286468042983,5554.260809316830,14.194694294911,14.991568699911,89.582179636895,5673.029251948546
-0.057000000000,2600.324211093968,11.935595233446,11.842815753287,63.823928343010,2687.926550423711,5483.555674758733,14.114734302248,14.298979313811,85.195670047311,5597.165058422104
-0.056000000000,2600.484364486434,11.931924267699,11.829230418200,63.324286999926,2687.569806172259,5413.587250634021,14.036123293780,13.627889167732,80.943673215167,5522.194936310700
-0.055000000000,2600.644353187729,11.928293787230,11.815693103739,62.827887340214,2687.216227418912,5344.353430201835,13.958861269506,12.978214839249,76.825595036214,5448.116101346805
-0.054000000000,2600.804177443955,11.924703645410,11.802203649942,62.334721576932,2686.865806316239,5275.852114288222,13.882948229427,12.349873321551,72.840844190387,5374.925780029586
-0.053000000000,2600.963837500672,11.921153696168,11.788761897453,61.844781944534,2686.518535038826,5208.081211255274,13.808384173543,11.742782021047,68.988832126825,5302.621209576689
-0.052000000000,2601.123333602985,11.917643793993,11.775367687524,61.358060698816,2686.174405783318,5141.038636964417,13.735169101853,11.156858754970,65.268973048694,5231.199637869935
-0.051000000000,2601.282665995609,11.914173793927,11.762020862011,60.874550116857,2685.833410768405,5074.722314744096,13.663303014358,10.592021749045,61.680683898725,5160.658323406225
-0.050000000000,2601.441834922761,11.910743551565,11.748721263368,60.394242496890,2685.495542234583,5009.130175355986,13.592785911058,10.048189635175,58.223384344133,5090.994535246352
