eps0,chi2_frozen,chi2_published,delta_chi2_frozen,delta_chi2_published,published_minus_frozen
-0.100000000000,2593.278250301160,9218.204124817677,-15.918879940702,6609.006994575815,6624.925874516517
-0.097500000000,2593.696607124614,8960.626946058912,-15.500523117248,6351.429815817050,6366.930338934299
-0.095000000000,2594.113868225402,8708.229950700845,-15.083262016460,6099.032820458982,6114.116082475442
-0.092500000000,2594.530037750302,8460.975053002878,-14.667092491560,5851.777922761015,5866.445015252575
-0.090000000000,2594.945119826766,8218.824521046781,-14.252010415096,5609.627390804919,5623.879401220015
-0.087500000000,2595.359118563067,7981.740972609369,-13.838011678795,5372.543842367508,5386.381854046302
-0.085000000000,2595.772038048482,7749.687371099813,-13.425092193380,5140.490240857951,5153.915333051331
-0.082500000000,2596.183882353333,7522.627021548136,-13.013247888529,4913.429891306274,4926.443139194804
-0.080000000000,2596.594655529066,7300.523566652275,-12.602474712796,4691.326436410412,4703.928911123208
-0.077500000000,2597.004361608295,7083.340982883941,-12.192768633567,4474.143852642079,4486.336621275646
-0.075000000000,2597.413004605020,6871.043576642920,-11.784125636842,4261.846446401058,4273.630572037900
-0.072500000000,2597.820588514599,6663.595980470713,-11.376541727263,4054.398850228851,4065.775391956113
-0.070000000000,2598.227117313891,6460.963149313085,-10.970012927971,3851.766019071223,3862.736031999194
-0.067500000000,2598.632594961344,6263.110356837125,-10.564535280518,3653.913226595263,3664.477761875780
-0.065000000000,2599.037025397039,6070.003191796156,-10.160104844823,3460.806061554294,3470.966166399117
-0.062500000000,2599.440412542832,5881.607554450138,-9.756717699030,3272.410424208276,3282.167141907306
-0.060000000000,2599.842760302451,5697.889653029761,-9.354369939411,3088.692522787899,3098.046892727310
-0.057500000000,2600.244072561545,5518.816000252576,-8.953057680317,2909.618870010715,2918.571927691032
-0.055000000000,2600.644353187729,5344.353409886742,-8.552777054133,2735.156279644880,2743.709056699013
-0.052500000000,2601.043606030807,5174.468993359838,-8.153524211054,2565.271863117976,2573.425387329031
-0.050000000000,2601.441834922761,5009.130156416051,-7.755295319101,2399.933026174189,2407.688321493290
-0.047500000000,2601.839043677759,4848.304595818397,-7.358086564102,2239.107465576535,2246.465552140637
-0.045000000000,2602.235236092493,4691.960296095374,-6.961894149369,2082.763165853512,2089.725060002881
-0.042500000000,2602.630415945975,4540.065526330543,-6.566714295887,1930.868396088681,1937.435110384568
-0.040000000000,2603.024586999846,4392.588836999067,-6.172543242016,1783.391706757205,1789.564249999221
-0.037500000000,2603.417752998336,4249.499056842860,-5.779377243526,1640.301926600998,1646.081303844524
-0.035000000000,2603.809917668415,4110.765289790803,-5.387212573447,1501.568159548941,1506.955372122387
-0.032500000000,2604.201084719814,3976.356911917885,-4.996045522048,1367.159781676023,1372.155827198071
-0.030000000000,2604.591257845174,3846.243568446947,-4.605872396688,1237.046438205085,1241.652310601773
-0.027500000000,2604.980440720089,3720.395170790205,-4.216689521773,1111.198040548343,1115.414730070116
-0.025000000000,2605.368637003248,3598.781893628693,-3.828493238614,989.584763386831,993.413256625445
-0.022500000000,2605.755850336422,3481.374172032433,-3.441279905440,872.177041790571,875.618321696012
-0.020000000000,2606.142084344659,3368.142698617684,-3.055045897202,758.945568375822,762.000614273025
-0.017500000000,2606.527342636205,3259.058420741497,-2.669787605657,649.861290499635,652.531078105292
-0.015000000000,2606.911628802834,3154.092537735070,-2.285501439028,544.895407493208,547.180908932237
-0.012500000000,2607.294946419689,3053.216498171336,-1.902183822173,444.019367929474,445.921551751647
-0.010000000000,2607.677299045513,2956.401997169709,-1.519831196349,347.204866927847,348.724698124196
-0.007500000000,2608.058690222638,2863.620973735829,-1.138440019224,254.423843493967,255.562283513191
-0.005000000000,2608.439123477184,2774.845608136478,-0.758006764678,165.648477894616,166.406484659295
-0.002500000000,2608.818602319005,2690.048319307225,-0.378527922857,80.851189065364,81.229716988221
0.000000000000,2609.197130241862,2609.201762296250,0.000000000000,0.004632054388,0.004632054388
0.002500000000,2609.574710723524,2532.278825739570,0.377580481662,-76.918304502292,-77.295884983954
0.005000000000,2609.951347225679,2459.252629368699,0.754216983818,-149.944500873163,-150.698717856980
0.007500000000,2610.327043194252,2390.096521552278,1.129912952390,-219.100608689584,-220.230521641974
0.010000000000,2610.701802059285,2324.784076867474,1.504671817424,-284.413053374388,-285.917725191812
0.012500000000,2611.075627235202,2263.289093704174,1.878496993340,-345.908036537688,-347.786533531028
0.015000000000,2611.448522120661,2205.585591898336,2.251391878799,-403.611538343526,-405.862930222325
0.017500000000,2611.820490098860,2151.647810397392,2.623359856998,-457.549319844470,-460.172679701468
0.020000000000,2612.191534537490,2101.450204953697,2.994404295628,-507.746925288165,-510.741329583793
0.022500000000,2612.561658788792,2054.967445848837,3.364528546930,-554.229684393025,-557.594212939955
0.025000000000,2612.930866189732,2012.174415645883,3.733735947870,-597.022714595979,-600.756450543849
0.027500000000,2613.299160062038,1973.046206970756,4.102029820176,-636.150923271106,-640.252953091282
0.030000000000,2613.666543712189,1937.558120321227,4.469413470327,-671.639009920635,-676.108423390961
0.032500000000,2614.033020431655,1905.685661903656,4.835890189793,-703.511468338206,-708.347358527999
0.035000000000,2614.398593496836,1877.404541497408,5.201463254974,-731.792588744454,-736.994051999428
0.037500000000,2614.763266169252,1852.690670345539,5.566135927390,-756.506459896323,-762.072595823714
0.040000000000,2615.127041695423,1831.520159072117,5.929911453561,-777.676971169745,-783.606882623306
